stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\Tower\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00041] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.06394] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.06858] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.06869] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.06871] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.06873] added dtor for voice 0000000000E49E10, func 0000000061BEBB73
dtor     D               dtor.c:196  _al_register_destructor          [   0.06875] added dtor for mixer 0000000000F9EA50, func 0000000061BE741E
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.06878] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.06879] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.07196] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.07201] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.07213] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.07217] added dtor for sample_instance 0000000000E49F50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07221] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07223] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07225] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07227] added dtor for sample_instance 0000000000E4A070, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07228] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07229] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07230] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07232] added dtor for sample_instance 0000000000E4A480, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07233] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07235] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07236] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07237] added dtor for sample_instance 0000000000F9EC90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07275] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07280] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07282] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07285] added dtor for sample_instance 0000000000F9EE00, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07286] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07288] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07289] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07300] added dtor for sample_instance 0000000000E565C0, func 0000000061BE0583
